#,HAuCl4,PVP,Glucose,NaOH,Time,A450,WL,FWHM,R,std
81,15.96,11.37,17.03,19.93,4.50,0.11,542.00,139.00,2.70,4.4e-04 2.0e+00 3.0e+00 3.0e-02
82,4.85,14.68,8.48,7.84,8.91,0.01,539.00,161.00,2.62,3.5e-05 9.0e+00 1.0e+00 4.2e-01
83,15.10,11.35,16.03,18.74,5.44,0.11,542.00,139.00,2.76,9.00e-05 1.00e+00 1.00e+00 1.45e-01
84,12.32,17.50,10.56,15.70,5.04,0.05,529.00,136.00,3.67,0.003755 1.       2.       0.03    
85,19.82,18.57,4.43,17.22,8.71,0.03,515.50,134.00,5.92,4.70e-04 1.50e+00 0.00e+00 5.05e-01
86,17.73,8.82,10.46,5.01,4.89,0.01,603.50,198.00,1.12,1.45e-04 5.00e-01 1.20e+01 9.50e-02
87,15.90,11.50,16.41,19.95,4.85,0.10,542.00,140.00,2.68,0.005335 1.       0.       0.09    
88,6.61,8.31,13.41,6.99,6.10,0.04,551.50,169.00,1.67,0.001565 0.5      1.       0.      
89,14.97,9.95,17.32,19.98,5.10,0.11,548.50,146.00,2.13,0.00372 0.5     2.      0.03   
90,5.24,7.96,18.70,8.46,9.54,0.04,553.00,173.00,1.49,2.55e-04 3.00e+00 3.00e+00 6.00e-02
91,16.07,10.43,17.02,19.95,5.13,0.11,544.50,146.00,2.35,1.51e-03 1.50e+00 2.00e+00 1.25e-01
92,10.94,18.91,18.33,18.50,3.97,0.07,535.50,140.00,2.99,5.4e-04 5.0e-01 2.0e+00 3.0e-02
93,15.01,10.66,16.15,19.21,4.78,0.08,546.50,147.00,2.19, 0.02353  1.5     11.       0.315  
94,11.36,18.16,9.13,13.88,6.62,0.03,530.00,124.00,4.24,0.003445 3.       0.       0.585   
95,15.41,10.55,16.93,20.00,5.11,0.11,545.00,143.00,2.37,3.8e-04 0.0e+00 1.0e+00 3.5e-02
96,13.53,12.74,15.37,7.59,7.36,0.04,540.50,149.00,2.52,2.005e-03 5.000e-01 3.000e+00 4.500e-02
97,16.01,10.73,16.57,19.90,4.84,0.11,544.50,142.00,2.37,3.05e-04 5.00e-01 2.00e+00 5.00e-02
98,12.48,9.39,15.91,14.57,2.83,0.08,548.00,152.00,2.02,0.00307 0.      2.      0.035  
99,14.95,10.28,17.62,20.00,4.57,0.11,548.00,142.00,2.20,9.9e-04 1.0e+00 2.0e+00 2.0e-02
100,13.88,7.47,8.67,10.85,8.29,0.06,550.50,149.00,2.01,3.875e-03 2.500e+00 9.000e+00 1.150e-01
